연번,시군구,중개업소구분,중개업자명,중개업소명,사무소주소,위도,경도,데이터기준일자
1,중구,중개인,안덕중,삼일부동산,부산광역시 중구 해관로 22-2(중앙동1가),35.10083973,129.0359033,2022-01-14
2,중구,중개인,곽희자,한성부동산중개사무소,부산광역시 중구 해관로 71-2(중앙동4가),35.10532503,129.0352800,2022-01-14
3,중구,중개인,김종근,한일부동산중개인사무소,"부산광역시 중구 중앙대로 21, 219호(중앙동6가,부산데파트)",35.09944900,129.0362037,2022-01-14
4,중구,중개인,김영환,태양부동산,부산광역시 중구 보수대로124번길 43-7(보수동2가),35.10523601,129.0234874,2022-01-14
5,중구,중개인,최기덕,아파트부동산,부산광역시 중구 망양로319번길 24,35.10638430,129.0273300,2022-01-14
6,중구,중개인,전상호,신창부동산중개인사무소,"부산광역시 중구 광복로37번길 5, 3층(창선동2가)",35.09974395,129.0291002,2022-01-14
7,중구,중개인,안환순,대성부동산,부산광역시 중구 흑교로 10-1(부평동2가),35.10043429,129.0252919,2022-01-14
8,중구,중개인,이승화,영신부동산합동사무소,부산광역시 중구 광복로85번길 4-1(광복동1가),35.09883384,129.0343533,2022-01-14
9,중구,중개인,장광남,영신부동산,부산광역시 중구 광복로85번길 4-1(광복동1가),35.09883384,129.0343533,2022-01-14
10,중구,중개인,이통래,새부산부동산,부산광역시 중구 대청로 93(대청동2가),35.10305283,129.0300741,2022-01-14
11,중구,중개인,김귀문,부산부동산,"부산광역시 중구 중구로23번길 44, 2층",35.10015293,129.0255187,2022-01-14
12,중구,공인중개사,윤섭,로얄공인중개사,부산광역시 중구 구덕로 34(남포동4가),35.09815874,129.0321293,2022-01-14
13,중구,공인중개사,김갑,중앙공인,부산광역시 중구 해관로 70,35.10508769,129.0356280,2022-01-14
14,중구,공인중개사,이철수,현대공인중개사,부산광역시 중구 광복로 9-1(부평동2가),35.09959756,129.0261698,2022-01-14
15,중구,공인중개사,최용범,부동산리더,"부산광역시 중구 광복로 54-1, 창선동1가",35.09907032,129.0309343,2022-01-14
16,중구,공인중개사,서정범,대림공인중개사사무소,부산광역시 중구 부평2길 3(부평동2가),35.09959672,129.0262685,2022-01-14
17,중구,공인중개사,최연철,영진공인중개사사무소,부산광역시 중구 중앙대로 111-15(대창동1가),35.10776175,129.0359910,2022-01-14
18,중구,공인중개사,임양운,삼보공인중개사사무소,부산광역시 중구 부평1길 5(부평동2가),35.09972829,129.0256341,2022-01-14
19,중구,공인중개사,김중의,롯데부동산중개사무소,부산광역시 중구 영주로 66(영주동),35.11307424,129.0303321,2022-01-14
